molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4169002,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC1=O,active,1187.2720000000002,-4.71270000000002,15.0,16.0,7.508638306165727
CHEMBL5285536,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)NCCOCCOCC(=O)NCCCC[C@H](NC(=O)CC[C@@H]2NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc3ccc4ccccc4c3)NC(=O)[C@H](Cc3ccccc3)NC2=O)C(N)=O)NC(=O)CNC1=O,active,2540.874999999998,-8.912919999999911,37.0,32.0,6.815308569182402
CHEMBL5273301,CCOc1ccc(S(=O)(=O)Nc2cc3c(C(=O)NO)cn(S(=O)(=O)c4ccc(OCC)cc4)c3c3ccccc23)cc1,active,609.6820000000002,4.748700000000003,3.0,9.0,6.698970004336019
CHEMBL5277720,CCCCC1CCCN1C(=O)c1cccc(-c2cccc(-n3ncc(C(=O)O)c3C3CC3)c2)c1,active,457.57400000000024,5.909700000000005,1.0,4.0,7.200659450546418
CHEMBL1969108,Cc1ccc(S(=O)(=O)Oc2nc3nc4ccccc4nc3nc2OS(=O)(=O)c2ccc(C)cc2)cc1,active,522.5640000000003,3.725240000000003,0.0,10.0,6.58838029403677
CHEMBL5273621,COc1ccc(S(=O)(=O)Nc2ccc(N3CCCCCC3)cc2C(=O)O)cc1,inactive,404.4880000000002,3.574600000000002,2.0,5.0,4.431798275933005
CHEMBL5266194,Cc1ccc(C(CC(=O)O)NC(=O)Cc2ccc3c(c2)CCCC3)cc1,inactive,351.4460000000002,3.7485200000000027,2.0,2.0,4.3979400086720375
CHEMBL5280279,Cc1ccc([C@@H](CC(=O)O)NC(=O)Cc2ccc3c(c2)CCCC3)cc1,inactive,351.4460000000002,3.7485200000000027,2.0,2.0,4.0
CHEMBL5286485,Cc1ccc([C@H](CC(=O)O)NC(=O)Cc2ccc3c(c2)CCCC3)cc1,inactive,351.4460000000002,3.7485200000000027,2.0,2.0,4.4089353929735005
CHEMBL5271230,Cc1ccc(C(NC(=O)Cc2ccc3c(c2)CCCC3)C(C)(C)C(=O)O)cc1,inactive,379.5000000000001,4.3846200000000035,2.0,2.0,4.769551078621726
CHEMBL5274849,Cc1ccc(C(NC(=O)Cc2ccc3c(c2)CCCC3)C2(C(=O)O)CC2)cc1,inactive,377.48400000000015,4.138620000000003,2.0,2.0,4.267606240177032
CHEMBL5283445,Cc1ccc([C@@H](NC(=O)Cc2ccc3c(c2)CCCC3)[C@H](C)C(=O)O)cc1,inactive,365.47300000000007,3.994520000000003,2.0,2.0,4.292429823902063
CHEMBL5265976,CC[C@H](C(=O)O)[C@H](NC(=O)Cc1ccc2c(c1)CCCC2)c1ccc(C)cc1,inactive,379.50000000000017,4.3846200000000035,2.0,2.0,4.00436480540245
CHEMBL5285861,CC[C@@H](C(=O)O)[C@H](NC(=O)Cc1ccc2c(c1)CCCC2)c1ccc(C)cc1,inactive,379.50000000000017,4.3846200000000035,2.0,2.0,4.259637310505756
CHEMBL5289579,Cc1ccc([C@@H](NC(=O)Cc2ccccc2)[C@@H](C)C(=O)O)cc1,inactive,311.38100000000003,3.1157200000000014,2.0,2.0,4.173925197299173
CHEMBL5274045,Cc1ccc([C@@H](NC(=O)C(=O)c2ccccc2)[C@@H](C)C(=O)O)cc1,inactive,325.3640000000001,2.7559200000000006,2.0,3.0,4.0
CHEMBL5281246,Cc1ccc([C@@H](NC(=O)[C@@H](O)c2ccccc2)[C@@H](C)C(=O)O)cc1,inactive,327.3800000000001,2.6066200000000004,3.0,3.0,4.017728766960431
CHEMBL5273258,Cc1ccc([C@@H](NC(=O)[C@H](O)c2ccccc2)[C@@H](C)C(=O)O)cc1,inactive,327.3800000000001,2.6066200000000004,3.0,3.0,4.0
CHEMBL5270092,CO[C@H](C(=O)N[C@H](c1ccc(C)cc1)[C@@H](C)C(=O)O)c1ccccc1,inactive,341.40700000000004,3.260720000000002,2.0,3.0,4.0
CHEMBL5277909,CO[C@@H](C(=O)N[C@H](c1ccc(C)cc1)[C@@H](C)C(=O)O)c1ccccc1,inactive,341.40700000000004,3.260720000000002,2.0,3.0,4.080921907623926
CHEMBL5286321,Cc1ccc([C@@H](NC(=O)[C@H](F)c2ccccc2)[C@@H](C)C(=O)O)cc1,inactive,329.3710000000001,3.583820000000002,2.0,2.0,4.045757490560675
CHEMBL5284493,Cc1ccc([C@@H](NC(=O)[C@@H](F)c2ccc3c(c2)CCCC3)[C@@H](C)C(=O)O)cc1,active,383.4630000000002,4.462620000000003,2.0,2.0,7.050609993355087
CHEMBL5431154,COc1ccc(S(=O)(=O)N(CC(=O)O)c2cc(-c3ccccc3)c(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,active,690.7520000000002,5.0838000000000045,2.0,8.0,7.017728766960431
CHEMBL5402805,COc1ccc(-c2cc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc3c2N(CC(=O)O)S(=O)(=O)c2ccc(OC)cc2)cc1,active,720.7780000000002,5.092400000000005,2.0,9.0,7.070581074285707
CHEMBL5421804,COc1ccc(S(=O)(=O)N(CC(=O)O)c2cc(-c3ccc(C#N)cc3)c(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,active,715.7620000000002,4.955480000000004,2.0,9.0,6.931814138253839
CHEMBL5407848,COc1ccc(S(=O)(=O)N(CC(=O)O)c2cc(-c3ccc(N4C(=O)c5ccccc5C4=O)cc3)c(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,active,835.8690000000003,5.884400000000006,2.0,10.0,7.045757490560675
CHEMBL5429390,COc1ccc(S(=O)(=O)N(CC(=O)O)c2cc(Sc3ccccc3)c(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,active,722.8190000000001,5.568000000000005,2.0,9.0,7.070581074285707
